json,excel,category,score,method
2019 anniversary edition,2019 anniversary edition,OUI,1.0,exact
25 to life,25 to life,BIEN AUSSI,1.0,exact
7 hours later,7 hours later,NON,1.0,exact
A dam mission,A dam mission,OUI,1.0,exact
A qualia macabre clean,A qualia macabre,OUI,0.91,fuzzy
Absolute zero,Absolute zero,OUI,1.0,exact
After dark,After dark,OUI,1.0,exact
Alley war (2 chinois 1.3),Alley war,OUI,0.91,fuzzy
Arena of the dead,Arena of the dead,BIEN AUSSI,1.0,exact
At the gloaming 2 RE,At the gloaming 2 RE,BIEN AUSSI,1.0,exact
Atrocity Valley,Atrocity valley,OUI,1.0,exact
Back to school,Back to school,OUI,1.0,exact
Black Mesa Borderworld,Black mesa borderworld,OUI,1.0,exact
Black mesa hazardous environment,Black mesa hazardous environment,OUI,1.0,exact
Blackout basement,Blackout basement,OUI,1.0,exact
Blackout extended,Blackout extended,OUI,1.0,exact
Blood harvest apocalypse,Blood harvest apocalypse,OUI,1.0,exact
Blood proof,Blood proof,OUI,1.0,exact
Blood tracks,Blood tracks,OUI,1.0,exact
Blood woods apocalypse,Blood woods,OUI,0.91,fuzzy
Brutalism,Brutalism,OUI,1.0,exact
Buried deep,Buried deep,OUI,1.0,exact
Burning down under redux,Burning down under redux,OUI,1.0,exact
CEDA fever,CEDA fever,BIEN AUSSI,1.0,exact
Cabin Fever,Cabin fever,OUI,1.0,exact
Cambalache 2,Cambalache 2 - Buenos Aires,OUI,0.91,fuzzy
Chinois v2.9,Chinois v2.9,BIEN AUSSI,1.0,exact
Coal'd blood,Coal'd blood,OUI,1.0,exact
Cold front,Cold front,OUI,1.0,exact
Crash course apocalypse,Crash course apocalypse,OUI,1.0,exact
Crossing over,Crossing over,BIEN AUSSI,1.0,exact
Crunch time,Crunch time,BIEN AUSSI,1.0,exact
Dam it II,Dam it II,OUI,1.0,exact
Dam it complete,Dam it complete,OUI,1.0,exact
Day break,Day break,OUI,1.0,exact
Dead Center 2025,Dead center 2025,OUI,1.0,exact
Dead Rain,Dead rain,OUI,1.0,exact
Dead before dawn extended,Dead before dawn extended,OUI,1.0,exact
Dead echo 2,Dead echo 2,BIEN AUSSI,1.0,exact
Dead flags 2 reborn,Dead flags 2 reborn,OUI,1.0,exact
Dead high school,Dead high school,OUI,1.0,exact
Dead on time,Dead on time,OUI,1.0,exact
Dead series,Dead series,BIEN AUSSI,1.0,exact
Dead street 2,Dead street 2,BIEN AUSSI,1.0,exact
Dead vacation,Dead vacation,OUI,1.0,exact
Deadbeat escape,Deadbeat escape,OUI,1.0,exact
Deadenator,Deadenator,BIEN AUSSI,1.0,exact
Deadly dispatch (v3),Deadly dispatch (v3),OUI,1.0,exact
Death aboard 2,Death aboard 2,OUI,1.0,exact
Death from above,Death from above,OUI,1.0,exact
Death row,Death row,OUI,1.0,exact
Death sentence,Death sentence,BIEN AUSSI,1.0,exact
Death stop,Death stop 2,BIEN AUSSI,0.91,fuzzy
Death toll apocalypse,Death toll apocalypse,OUI,1.0,exact
Death trip,Death trip,OUI,1.0,exact
Death woods,Death woods,OUI,1.0,exact
Deep phobia,Deep phobia,OUI,1.0,exact
Detour ahead,Detour ahead,BIEN AUSSI,1.0,exact
Devil mountain,Devil mountain,OUI,1.0,exact
Die Screaming 2,Die screaming 2,OUI,1.0,exact
Diescraper redux,Diescraper redux,OUI,1.0,exact
Distrurbed in the suburbs,Distrurbed in the suburbs,OUI,1.0,exact
Divine cybermancy,Divine cybermancy,BIEN AUSSI,1.0,exact
Dniepr 4.0,Dniepr 4.0,OUI,1.0,exact
Dr Malroys laboratory,Dr Malroys laboratory,OUI,1.0,exact
Drop dead gorges v2.1,Drop dead gorges v2.1,OUI,1.0,exact
Dry county,Dry county,OUI,1.0,exact
Early days,Early days,OUI,1.0,exact
End of the line remastered,End of the line remastered,OUI,1.0,exact
Energy crisis,Energy crisis,OUI,1.0,exact
Escape from Valencia v2,Escape from Valencia v2,OUI,1.0,exact
Fall in death,Fall in death,OUI,1.0,exact
Fallen,Fallen,OUI,1.0,exact
Fatal freight : remastered,Fatal freight : remastered,BIEN AUSSI,1.0,exact
Final escape,Final escape,BIEN AUSSI,1.0,exact
Fire starter,Fire starter,OUI,1.0,exact
Firetower trail,Firetower trail,OUI,1.0,exact
Fort Noesis,Fort Noesis,OUI,1.0,exact
Free passage 2.0,Free passage 2.0,BIEN AUSSI,1.0,exact
Freezer burn,Freezer burn,OUI,1.0,exact
Freezing point,Freezing point,OUI,1.0,exact
Gas fever,Gas fever,BIEN AUSSI,1.0,exact
Go postal,Go postal,OUI,1.0,exact
Going balistic,Going balistic,OUI,1.0,exact
Left for Goldeneye,Goldeneye,BIEN AUSSI,0.91,fuzzy
Goldeneye 4 dead,Goldeneye 4 dead,OUI,1.0,exact
Grave consequences,Grave consequences,OUI,1.0,exact
Green walls,Green walls,BIEN AUSSI,1.0,exact
Big wat Halloween,Big Wat,POURQUOI PAS,0.91,fuzzy
Haunted forest,Haunted forest,OUI,1.0,exact
Hellride,Hellride,OUI,1.0,exact
